Temperature, Time
75.01,0.0000000000
75.01,0.0120000004
75.01,0.0240000009
75.01,0.0370000004
75.01,0.0500000000
75.01,0.0659999942
75.01,0.0869999980
75.01,0.1070000052
75.01,0.1289999961
75.01,0.1490000009
75.01,0.1690000057
75.01,0.1909999942
75.12,0.2109999895
75.12,0.2319999933
75.12,0.2529999971
75.12,0.2739999771
75.12,0.2940000057
75.09,0.3160000085
75.09,0.3359999895
75.09,0.3569999933
75.09,0.3769999980
75.09,0.3989999771
75.12,0.4190000057
75.12,0.4400000095
75.12,0.4610000133
75.12,0.4819999694
75.09,0.5019999504
75.09,0.5239999771
75.09,0.5440000534
75.09,0.5650000095
75.09,0.5860000133
75.19,0.6069999694
75.19,0.6269999504
75.19,0.6489999771
75.19,0.6690000534
75.19,0.6900000095
75.19,0.7099999904
75.19,0.7319999694
75.19,0.7519999504
75.19,0.7730000019
75.12,0.7940000534
75.12,0.8149999618
75.12,0.8349999427
75.12,0.8569999694
75.12,0.8769999504
75.23,0.8979999542
75.23,0.9190000534
75.23,0.9399999618
75.23,0.9599999427
75.23,0.9819999694
75.41,1.0019999742
75.41,1.0219999551
75.41,1.0429999828
75.41,1.0640000104
75.63,1.0850000381
75.63,1.1050000190
75.63,1.1269999742
75.63,1.1469999551
75.63,1.1679999828
75.77,1.1890000152
75.77,1.2100000381
75.77,1.2300000190
75.77,1.2519999742
75.77,1.2719999551
76.10,1.2929999828
76.10,1.3140000104
76.10,1.3350000381
76.10,1.3550000190
76.71,1.3760000467
76.71,1.3969999504
76.71,1.4179999828
76.71,1.4379999637
76.71,1.4600000381
77.03,1.4800000190
77.03,1.5010000228
77.03,1.5219999313
77.03,1.5429999828
77.03,1.5629999637
78.04,1.5850000381
78.04,1.6050000190
78.04,1.6260000228
78.04,1.6469999313
78.83,1.6679999828
78.83,1.6879999637
78.83,1.7090000152
78.83,1.7300000190
78.83,1.7510000228
80.13,1.7710000038
80.13,1.7929999828
80.13,1.8129999160
80.13,1.8329999923
80.13,1.8550000190
81.39,1.8750000000
81.39,1.8960000038
81.39,1.9170000076
81.39,1.9379999160
83.11,1.9579999923
83.11,1.9800000190
83.11,2.0000000000
83.11,2.0209999084
83.11,2.0409998893
84.73,2.0629999637
84.73,2.0829999446
84.73,2.1040000915
84.73,2.1250000000
84.73,2.1459999084
86.21,2.1659998893
86.21,2.1879999637
86.21,2.2079999446
86.21,2.2290000915
87.80,2.2500000000
87.80,2.2709999084
87.80,2.2909998893
87.80,2.3129999637
87.80,2.3329999446
89.52,2.3540000915
89.52,2.3740000724
89.52,2.3959999084
89.52,2.4159998893
90.31,2.4370000362
90.31,2.4579999446
90.31,2.4790000915
90.31,2.4990000724
90.31,2.5209999084
90.82,2.5409998893
90.82,2.5620000362
90.82,2.5829999446
90.82,2.6040000915
90.82,2.6240000724
91.32,2.6459999084
91.32,2.6659998893
91.32,2.6860001087
91.32,2.7070000171
91.47,2.7279999256
91.47,2.7490000724
91.47,2.7690000534
91.47,2.7909998893
91.47,2.8110000610
91.40,2.8319999694
91.40,2.8529998779
91.40,2.8740000724
91.40,2.8940000534
91.40,2.9159998893
91.36,2.9360000610
91.36,2.9569999694
91.36,2.9779998779
91.36,2.9990000724
91.50,3.0190000534
91.50,3.0399999618
91.50,3.0610001087
91.50,3.0820000171
91.50,3.1019999980
91.50,3.1240000724
91.50,3.1440000534
91.50,3.1649999618
91.50,3.1860001087
91.50,3.2070000171
91.11,3.2269999980
91.11,3.2490000724
91.11,3.2690000534
91.11,3.2899999618
89.27,3.3110001087
89.27,3.3320000171
89.27,3.3519999980
89.27,3.3729999065
89.27,3.3940000534
84.41,3.4149999618
84.41,3.4349999427
84.41,3.4570000171
84.41,3.4769999980
84.41,3.4969999790
80.27,3.5190000534
80.27,3.5390000343
80.27,3.5599999427
80.27,3.5810000896
78.15,3.6019999980
78.15,3.6219999790
78.15,3.6440000534
78.15,3.6640000343
78.15,3.6849999427
77.07,3.7049999237
77.07,3.7269999980
77.07,3.7469999790
77.07,3.7679998874
77.07,3.7890000343
76.31,3.8099999427
76.31,3.8299999237
76.31,3.8520000457
76.31,3.8719999313
76.85,3.8929998397
76.85,3.9140000343
76.85,3.9349999427
76.85,3.9549999237
76.85,3.9770000457
76.17,3.9969999313
76.17,4.0180001258
76.17,4.0380001068
76.17,4.0599999427
76.17,4.0799999237
76.06,4.1009998321
76.06,4.1220002174
76.06,4.1430001258
76.06,4.1630001068
75.99,4.1849999427
75.99,4.2049999237
75.99,4.2259998321
75.99,4.2470002174
75.99,4.2680001258
75.88,4.2880001068
