Temperature, Time
75.12,0.0000000000
75.12,0.0030000000
75.12,0.0049999995
75.12,0.0139999998
75.12,0.0350000000
75.12,0.0559999990
75.12,0.0759999990
75.12,0.0979999923
75.12,0.1180000066
75.12,0.1389999980
75.12,0.1599999904
75.12,0.1809999942
75.12,0.2009999990
75.12,0.2220000028
75.12,0.2430000066
75.12,0.2639999866
75.12,0.2840000152
75.12,0.3059999942
75.12,0.3259999990
75.12,0.3470000028
75.12,0.3680000066
75.12,0.3889999866
75.12,0.4090000152
75.12,0.4309999942
75.12,0.4510000228
75.12,0.4720000267
75.12,0.4929999828
75.12,0.5139999866
75.12,0.5339999675
75.12,0.5550000190
75.12,0.5759999752
75.12,0.5960000038
75.12,0.6170000076
75.12,0.6380000114
75.12,0.6589999675
75.12,0.6789999961
75.12,0.7009999752
75.12,0.7210000038
75.12,0.7420000076
75.12,0.7630000114
75.12,0.7839999675
75.12,0.8039999961
75.12,0.8260000228
75.12,0.8460000038
75.12,0.8670000076
75.12,0.8869999885
75.12,0.9090000152
75.12,0.9289999961
75.12,0.9500000000
75.12,0.9710000038
75.12,0.9920000076
75.12,1.0119999647
75.12,1.0340000391
75.12,1.0540000200
75.12,1.0750000476
75.12,1.0959999561
75.12,1.1169999837
75.12,1.1369999647
75.12,1.1590000391
75.12,1.1790000200
75.12,1.2000000476
75.12,1.2200000286
84.34,1.2419999837
84.34,1.2619999647
84.34,1.2829999923
84.34,1.3040000200
84.34,1.3250000476
84.34,1.3450000286
84.34,1.3669999837
84.34,1.3869999694
84.34,1.4079999923
84.34,1.4289999961
84.34,1.4489999771
84.34,1.4700000286
84.34,1.4910000801
84.34,1.5119999885
84.34,1.5319999694
84.34,1.5529999732
84.34,1.5739999771
84.34,1.5950000286
93.55,1.6150000095
93.55,1.6369999885
93.55,1.6569999694
93.55,1.6779999732
93.55,1.6989999771
102.77,1.7200000286
102.77,1.7410000801
102.77,1.7640000343
102.77,1.7849999427
102.77,1.8070000648
102.77,1.8289999961
102.77,1.8509999275
102.77,1.8719999313
102.77,1.8949999809
111.99,1.9159999847
111.99,1.9379999160
111.99,1.9600000381
111.99,1.9819999694
