Temperature, Time
73.47,0.0000000000
73.47,0.0030000000
73.47,0.0049999995
73.47,0.0139999998
73.47,0.0350000000
73.47,0.0559999990
73.47,0.0759999990
73.75,0.0979999923
73.75,0.1180000066
73.75,0.1389999980
73.75,0.1599999904
73.72,0.1809999942
73.72,0.2009999990
73.72,0.2230000019
73.72,0.2430000066
73.72,0.2639999866
73.75,0.2840000152
73.75,0.3059999942
73.75,0.3259999990
73.75,0.3470000028
73.75,0.3680000066
73.86,0.3889999866
73.86,0.4090000152
73.86,0.4309999942
73.86,0.4510000228
73.93,0.4720000267
73.93,0.4929999828
73.93,0.5139999866
73.93,0.5339999675
73.93,0.5559999942
73.93,0.5759999752
73.93,0.5960000038
73.93,0.6170000076
73.93,0.6380000114
73.93,0.6589999675
74.15,0.6789999961
74.15,0.7009999752
74.15,0.7210000038
74.15,0.7420000076
74.15,0.7630000114
74.37,0.7839999675
74.37,0.8039999961
74.37,0.8260000228
74.37,0.8460000038
75.30,0.8670000076
75.30,0.8880000114
75.30,0.9090000152
75.30,0.9289999961
75.30,0.9500000000
76.85,0.9710000038
76.85,0.9920000076
76.85,1.0119999647
76.85,1.0340000391
78.69,1.0540000200
78.69,1.0750000476
78.69,1.0959999561
78.69,1.1169999837
78.69,1.1369999647
80.70,1.1590000391
80.70,1.1790000200
80.70,1.2000000476
80.70,1.2209999561
80.70,1.2419999837
83.91,1.2619999647
83.91,1.2829999923
83.91,1.3040000200
83.91,1.3250000476
95.53,1.3450000286
95.53,1.3669999837
95.53,1.3869999694
95.53,1.4079999923
95.53,1.4289999961
108.10,1.4489999771
108.10,1.4709999561
108.10,1.4939999580
108.10,1.5149999618
108.10,1.5369999408
112.96,1.5590000152
112.96,1.5809999465
112.96,1.6019999980
112.96,1.6250000000
112.45,1.6460000038
112.45,1.6679999828
112.45,1.6900000572
112.45,1.7119999885
111.09,1.7330000400
111.09,1.7560000419
111.09,1.7769999504
111.09,1.7990000247
111.09,1.8210000038
101.33,1.8430000305
101.33,1.8639999389
101.33,1.8869999885
101.33,1.9079999923
85.49,1.9299999237
85.49,1.9500000000
85.49,1.9720000267
85.49,1.9920000076
85.49,2.0130000114
81.71,2.0339999198
81.71,2.0550000667
81.71,2.0750000476
81.71,2.0969998836
81.71,2.1170001029
78.80,2.1380000114
78.80,2.1589999198
78.80,2.1800000667
78.80,2.2000000476
76.42,2.2219998836
76.42,2.2420001029
76.42,2.2630000114
76.42,2.2829999923
76.42,2.3050000667
75.01,2.3250000476
75.01,2.3450000286
75.01,2.3670001029
75.01,2.3870000839
75.01,2.4079999923
73.86,2.4289999008
