Temperature, Time
78.15,0.0000000000
78.15,0.0030000000
78.15,0.0049999995
78.15,0.0139999998
78.15,0.0350000000
78.15,0.0559999990
78.15,0.0759999990
78.33,0.0979999923
78.33,0.1180000066
78.33,0.1389999980
78.33,0.1599999904
78.33,0.1809999942
78.33,0.2009999990
78.33,0.2230000019
78.33,0.2430000066
78.33,0.2639999866
78.33,0.2840000152
78.15,0.3059999942
78.15,0.3259999990
78.15,0.3470000028
78.15,0.3680000066
78.33,0.3889999866
78.33,0.4090000152
78.33,0.4309999942
78.33,0.4510000228
78.33,0.4720000267
78.33,0.4929999828
78.33,0.5139999866
78.33,0.5339999675
78.33,0.5559999942
78.22,0.5759999752
78.22,0.5960000038
78.22,0.6170000076
78.22,0.6380000114
78.22,0.6589999675
78.40,0.6789999961
78.40,0.7009999752
78.40,0.7210000038
78.40,0.7420000076
78.40,0.7630000114
78.36,0.7839999675
78.36,0.8039999961
78.36,0.8260000228
78.36,0.8460000038
78.25,0.8670000076
78.25,0.8880000114
78.25,0.9090000152
78.25,0.9289999961
78.25,0.9500000000
78.33,0.9710000038
78.33,0.9920000076
78.33,1.0119999647
78.33,1.0340000391
78.33,1.0540000200
78.33,1.0750000476
78.33,1.0959999561
78.33,1.1169999837
78.33,1.1369999647
78.33,1.1590000391
78.33,1.1790000200
78.33,1.2000000476
78.33,1.2209999561
78.33,1.2419999837
78.47,1.2619999647
78.47,1.2829999923
78.47,1.3040000200
78.47,1.3250000476
78.47,1.3450000286
78.47,1.3669999837
78.47,1.3869999694
78.47,1.4079999923
78.47,1.4289999961
78.33,1.4489999771
78.33,1.4700000286
78.33,1.4910000801
78.33,1.5119999885
78.33,1.5319999694
78.25,1.5539999961
78.25,1.5739999771
78.25,1.5950000286
78.25,1.6150000095
78.25,1.6369999885
78.36,1.6569999694
78.36,1.6779999732
78.36,1.6989999771
78.36,1.7200000286
78.51,1.7400000095
78.51,1.7619999885
78.51,1.7819999694
78.51,1.8029999732
78.51,1.8239999771
78.33,1.8450000762
78.33,1.8649999618
78.33,1.8869999885
78.33,1.9069999694
78.33,1.9279999732
78.33,1.9479999542
78.33,1.9700000762
78.33,1.9899999618
78.33,2.0109999179
78.33,2.0320000648
78.33,2.0529999732
78.33,2.0729999542
78.33,2.0950000286
78.33,2.1150000095
78.51,2.1359999179
78.51,2.1570000648
78.51,2.1779999732
78.51,2.1979999542
78.51,2.2200000286
78.51,2.2400000095
78.51,2.2599999904
78.51,2.2809998989
78.51,2.3020000457
78.40,2.3229999542
78.40,2.3429999351
78.40,2.3650000095
78.40,2.3849999904
78.40,2.4059998989
78.47,2.4270000457
78.47,2.4479999542
78.47,2.4679999351
78.47,2.4900000095
78.40,2.5099999904
78.40,2.5309998989
