Temperature, Time
75.12,0.0000000000
75.12,0.0030000000
75.12,0.0049999995
75.12,0.0139999998
75.12,0.0350000000
75.12,0.0559999990
75.12,0.0759999990
75.12,0.0979999923
75.12,0.1180000066
75.12,0.1389999980
75.12,0.1599999904
75.12,0.1809999942
75.12,0.2009999990
75.12,0.2220000028
75.12,0.2430000066
75.12,0.2639999866
75.12,0.2840000152
75.12,0.3059999942
75.12,0.3259999990
75.12,0.3470000028
75.12,0.3680000066
75.12,0.3889999866
75.12,0.4090000152
75.12,0.4309999942
75.12,0.4510000228
75.12,0.4720000267
75.12,0.4929999828
75.12,0.5139999866
75.12,0.5339999675
75.12,0.5550000190
75.12,0.5759999752
75.12,0.5960000038
75.12,0.6170000076
75.12,0.6380000114
75.12,0.6589999675
84.34,0.6789999961
84.34,0.7009999752
84.34,0.7210000038
84.34,0.7420000076
84.34,0.7630000114
75.12,0.7839999675
75.12,0.8039999961
75.12,0.8260000228
75.12,0.8460000038
75.12,0.8670000076
75.12,0.8869999885
75.12,0.9090000152
75.12,0.9289999961
75.12,0.9500000000
75.12,0.9710000038
75.12,0.9920000076
75.12,1.0119999647
75.12,1.0340000391
75.12,1.0540000200
75.12,1.0750000476
75.12,1.0959999561
75.12,1.1169999837
75.12,1.1369999647
75.12,1.1590000391
75.12,1.1790000200
75.12,1.2000000476
75.12,1.2200000286
75.12,1.2419999837
75.12,1.2619999647
75.12,1.2829999923
75.12,1.3040000200
75.12,1.3250000476
75.12,1.3450000286
75.12,1.3669999837
75.12,1.3869999694
75.12,1.4079999923
75.12,1.4289999961
75.12,1.4489999771
75.12,1.4700000286
75.12,1.4910000801
75.12,1.5119999885
75.12,1.5319999694
75.12,1.5529999732
75.12,1.5739999771
75.12,1.5950000286
75.12,1.6150000095
75.12,1.6369999885
102.77,1.6569999694
102.77,1.6789999961
102.77,1.7009999752
102.77,1.7230000495
139.63,1.7439999580
139.63,1.7669999599
139.63,1.7880000114
139.63,1.8099999427
139.63,1.8319999694
139.63,1.8539999961
139.63,1.8750000000
139.63,1.8979999542
139.63,1.9199999809
102.77,1.9409999847
102.77,1.9639999389
102.77,1.9850000381
102.77,2.0069999694
102.77,2.0290000438
75.12,2.0510001182
75.12,2.0710000991
75.12,2.0929999351
75.12,2.1129999160
75.12,2.1340000629
75.12,2.1549999713
75.12,2.1760001182
75.12,2.1960000991
75.12,2.2160000801
75.12,2.2379999160
75.12,2.2579998970
75.12,2.2790000438
75.12,2.2999999523
75.12,2.3210000991
75.12,2.3410000801
75.12,2.3629999160
75.12,2.3829998970
75.12,2.4040000438
75.12,2.4249999523
75.12,2.4460000991
75.12,2.4660000801
75.12,2.4879999160
75.12,2.5079998970
75.12,2.5290000438
75.12,2.5490000247
75.12,2.5710000991
75.12,2.5910000801
75.12,2.6119999885
75.12,2.6329998970
75.12,2.6540000438
75.12,2.6740000247
75.12,2.6960000991
75.12,2.7160000801
75.12,2.7369999885
75.12,2.7579998970
75.12,2.7790000438
75.12,2.7990000247
75.12,2.8210000991
75.12,2.8410000801
75.12,2.8619999885
75.12,2.8819999694
75.12,2.9040000915
75.12,2.9239999771
75.12,2.9449998855
75.12,2.9660000801
75.12,2.9869999885
75.12,3.0069999694
75.12,3.0280001163
75.12,3.0490000247
75.12,3.0690000057
75.12,3.0910000801
75.12,3.1110000610
75.12,3.1319999694
75.12,3.1530001163
75.12,3.1740000247
75.12,3.1940000057
75.12,3.2149999141
75.12,3.2360000610
75.12,3.2569999694
75.12,3.2769999504
75.12,3.2990000247
75.12,3.3190000057
75.12,3.3399999141
75.12,3.3610000610
75.12,3.3819999694
75.12,3.4019999504
75.12,3.4240000247
75.12,3.4440000057
75.12,3.4649999141
75.12,3.4860000610
75.12,3.5069999694
75.12,3.5269999504
75.12,3.5480000972
75.12,3.5690000057
75.12,3.5899999141
75.12,3.6099998950
75.12,3.6319999694
75.12,3.6519999504
75.12,3.6730000972
75.12,3.6940000057
75.12,3.7149999141
75.12,3.7349998950
75.12,3.7569999694
75.12,3.7769999504
75.12,3.7980000972
75.12,3.8190000534
75.12,3.8399999618
75.12,3.8599998474
75.12,3.8800001144
75.12,3.9019999504
