Temperature, Time
75.55,0.0000000000
75.55,0.0030000000
75.55,0.0049999995
75.55,0.0139999998
75.55,0.0350000000
75.84,0.0559999990
75.84,0.0759999990
75.84,0.0979999923
75.84,0.1180000066
75.84,0.1389999980
75.77,0.1599999904
75.77,0.1809999942
75.77,0.2009999990
75.77,0.2230000019
75.55,0.2430000066
75.55,0.2639999866
75.55,0.2840000152
75.55,0.3059999942
75.55,0.3259999990
75.52,0.3470000028
75.52,0.3680000066
75.52,0.3889999866
75.52,0.4090000152
75.52,0.4309999942
75.66,0.4510000228
75.66,0.4720000267
75.66,0.4929999828
75.66,0.5139999866
75.84,0.5339999675
75.84,0.5559999942
75.84,0.5759999752
75.84,0.5960000038
75.84,0.6170000076
75.99,0.6380000114
75.99,0.6589999675
75.99,0.6789999961
75.99,0.7009999752
75.99,0.7210000038
75.99,0.7420000076
75.99,0.7630000114
75.99,0.7839999675
75.99,0.8039999961
76.31,0.8260000228
76.31,0.8460000038
76.31,0.8670000076
76.31,0.8880000114
76.31,0.9090000152
76.85,0.9289999961
76.85,0.9500000000
76.85,0.9710000038
76.85,0.9920000076
76.85,1.0119999647
77.57,1.0340000391
77.57,1.0540000200
77.57,1.0750000476
77.57,1.0959999561
78.40,1.1169999837
78.40,1.1369999647
78.40,1.1590000391
78.40,1.1790000200
78.40,1.2000000476
79.59,1.2209999561
79.59,1.2419999837
79.59,1.2619999647
79.59,1.2829999923
81.24,1.3040000200
81.24,1.3250000476
81.24,1.3450000286
81.24,1.3669999837
81.24,1.3869999694
84.01,1.4079999923
84.01,1.4289999961
84.01,1.4489999771
84.01,1.4700000286
84.01,1.4910000801
88.70,1.5119999885
88.70,1.5319999694
88.70,1.5539999961
88.70,1.5739999771
95.61,1.5950000286
95.61,1.6150000095
95.61,1.6369999885
95.61,1.6569999694
95.61,1.6779999732
101.91,1.6989999771
101.91,1.7209999561
101.91,1.7420000076
101.91,1.7649999618
101.91,1.7860000133
104.82,1.8079999923
104.82,1.8300000190
104.82,1.8520000457
104.82,1.8730000495
103.17,1.8960000038
103.17,1.9170000076
103.17,1.9390000343
103.17,1.9609999656
96.61,1.9829999923
96.61,2.0030000209
96.61,2.0250000953
96.61,2.0450000762
96.61,2.0659999847
90.17,2.0869998931
90.17,2.1080000400
90.17,2.1280000209
90.17,2.1489999294
90.17,2.1700000762
86.71,2.1909999847
86.71,2.2109999656
86.71,2.2330000400
86.71,2.2530000209
84.63,2.2739999294
84.63,2.2950000762
84.63,2.3159999847
84.63,2.3359999656
84.63,2.3580000400
83.08,2.3780000209
83.08,2.3989999294
83.08,2.4200000762
83.08,2.4409999847
83.08,2.4609999656
82.07,2.4820001125
82.07,2.5030000209
82.07,2.5239999294
82.07,2.5439999103
81.96,2.5659999847
81.96,2.5859999656
81.96,2.6070001125
81.96,2.6280000209
81.96,2.6489999294
82.00,2.6689999103
82.00,2.6909999847
