Temperature, Time
74.94,0.0000000000
74.94,0.0030000000
74.94,0.0049999995
74.94,0.0139999998
74.94,0.0350000000
74.94,0.0559999990
74.94,0.0759999990
75.19,0.0979999923
75.19,0.1180000066
75.19,0.1389999980
75.19,0.1599999904
75.19,0.1809999942
75.23,0.2009999990
75.23,0.2230000019
75.23,0.2430000066
75.23,0.2639999866
75.23,0.2840000152
75.23,0.3059999942
75.23,0.3259999990
75.23,0.3470000028
75.23,0.3680000066
75.30,0.3889999866
75.30,0.4090000152
75.30,0.4309999942
75.30,0.4510000228
75.30,0.4720000267
75.41,0.4929999828
75.41,0.5139999866
75.41,0.5339999675
75.41,0.5559999942
75.41,0.5759999752
75.41,0.5960000038
75.41,0.6170000076
75.41,0.6380000114
75.41,0.6589999675
75.52,0.6789999961
75.52,0.7009999752
75.52,0.7210000038
75.52,0.7420000076
75.52,0.7630000114
75.63,0.7839999675
75.63,0.8039999961
75.63,0.8260000228
75.63,0.8460000038
75.63,0.8670000076
75.73,0.8880000114
75.73,0.9090000152
75.73,0.9289999961
75.73,0.9500000000
75.95,0.9710000038
75.95,0.9920000076
75.95,1.0119999647
75.95,1.0340000391
75.95,1.0540000200
75.88,1.0750000476
75.88,1.0959999561
75.88,1.1169999837
75.88,1.1369999647
75.88,1.1590000391
75.99,1.1790000200
75.99,1.2000000476
75.99,1.2209999561
75.99,1.2419999837
76.20,1.2619999647
76.20,1.2829999923
76.20,1.3040000200
76.20,1.3250000476
76.20,1.3450000286
76.38,1.3669999837
76.38,1.3869999694
76.38,1.4079999923
76.38,1.4289999961
76.60,1.4489999771
76.60,1.4700000286
76.60,1.4910000801
76.60,1.5119999885
76.60,1.5319999694
76.60,1.5539999961
76.60,1.5739999771
76.60,1.5950000286
76.60,1.6150000095
76.60,1.6369999885
76.53,1.6569999694
76.53,1.6779999732
76.53,1.6989999771
76.53,1.7200000286
76.31,1.7400000095
76.31,1.7619999885
76.31,1.7819999694
76.31,1.8029999732
