Temperature, Time
75.12,0.0000000000
75.12,0.0030000000
75.12,0.0049999995
75.12,0.0139999998
75.12,0.0350000000
75.12,0.0559999990
75.12,0.0759999990
75.12,0.0979999923
75.12,0.1180000066
75.12,0.1389999980
75.12,0.1599999904
75.12,0.1809999942
75.12,0.2009999990
75.12,0.2220000028
75.12,0.2430000066
75.12,0.2639999866
75.12,0.2840000152
75.12,0.3059999942
75.12,0.3259999990
75.12,0.3470000028
75.12,0.3680000066
75.12,0.3889999866
75.12,0.4090000152
75.12,0.4309999942
75.12,0.4510000228
75.12,0.4720000267
75.12,0.4929999828
75.12,0.5139999866
75.12,0.5339999675
75.12,0.5550000190
75.12,0.5759999752
75.12,0.5960000038
75.12,0.6170000076
75.12,0.6380000114
75.12,0.6589999675
75.12,0.6789999961
75.12,0.7009999752
75.12,0.7210000038
75.12,0.7420000076
75.12,0.7630000114
75.12,0.7839999675
75.12,0.8039999961
75.12,0.8260000228
75.12,0.8460000038
75.12,0.8670000076
75.12,0.8869999885
75.12,0.9090000152
75.12,0.9289999961
75.12,0.9500000000
75.12,0.9710000038
75.12,0.9920000076
75.12,1.0119999647
75.12,1.0340000391
75.12,1.0540000200
75.12,1.0750000476
75.12,1.0959999561
75.12,1.1169999837
75.12,1.1369999647
75.12,1.1590000391
75.12,1.1790000200
75.12,1.2000000476
75.12,1.2200000286
75.12,1.2419999837
75.12,1.2619999647
75.12,1.2829999923
75.12,1.3040000200
75.12,1.3250000476
75.12,1.3450000286
75.12,1.3669999837
75.12,1.3869999694
75.12,1.4079999923
75.12,1.4289999961
75.12,1.4489999771
75.12,1.4700000286
75.12,1.4910000801
75.12,1.5119999885
75.12,1.5319999694
75.12,1.5529999732
75.12,1.5739999771
75.12,1.5950000286
75.12,1.6150000095
75.12,1.6369999885
75.12,1.6569999694
75.12,1.6779999732
75.12,1.6989999771
84.34,1.7200000286
84.34,1.7400000095
84.34,1.7619999885
84.34,1.7819999694
84.34,1.8029999732
93.55,1.8239999771
93.55,1.8450000762
93.55,1.8649999618
93.55,1.8860000610
93.55,1.9069999694
93.55,1.9279999732
93.55,1.9479999542
93.55,1.9700000762
93.55,1.9899999618
93.55,2.0109999179
93.55,2.0320000648
93.55,2.0529999732
93.55,2.0729999542
93.55,2.0950000286
84.34,2.1150000095
84.34,2.1359999179
84.34,2.1570000648
84.34,2.1779999732
75.12,2.1979999542
75.12,2.2190001010
75.12,2.2400000095
75.12,2.2599999904
75.12,2.2809998989
75.12,2.3020000457
75.12,2.3229999542
75.12,2.3429999351
75.12,2.3650000095
75.12,2.3849999904
75.12,2.4059998989
75.12,2.4270000457
75.12,2.4479999542
75.12,2.4679999351
75.12,2.4900000095
75.12,2.5099999904
75.12,2.5309998989
75.12,2.5510001182
75.12,2.5729999542
75.12,2.5929999351
75.12,2.6140000820
75.12,2.6349999904
75.12,2.6559998989
75.12,2.6760001182
75.12,2.6979999542
75.12,2.7179999351
75.12,2.7390000820
75.12,2.7599999904
75.12,2.7809998989
75.12,2.8010001182
75.12,2.8229999542
75.12,2.8429999351
75.12,2.8640001296
75.12,2.8840000152
75.12,2.9059999465
75.12,2.9260001182
75.12,2.9470000267
75.12,2.9679999351
75.12,2.9890001296
75.12,3.0090000629
75.12,3.0309998989
75.12,3.0510001182
75.12,3.0720000267
75.12,3.0929999351
75.12,3.1129999160
75.12,3.1340000629
75.12,3.1549999713
75.12,3.1760001182
75.12,3.1960000991
75.12,3.2170000076
75.12,3.2379999160
75.12,3.25900
