Temperature, Time
74.91,0.0000000000
74.91,0.0030000000
74.91,0.0049999995
74.91,0.0139999998
74.91,0.0350000000
74.91,0.0559999990
74.94,0.0759999990
74.94,0.0979999923
74.94,0.1180000066
74.94,0.1389999980
74.94,0.1599999904
74.91,0.1809999942
74.91,0.2009999990
74.91,0.2230000019
74.91,0.2430000066
74.91,0.2639999866
74.83,0.2840000152
74.83,0.3059999942
74.83,0.3259999990
74.83,0.3470000028
74.83,0.3680000066
74.94,0.3889999866
74.94,0.4090000152
74.94,0.4309999942
74.94,0.4510000228
75.09,0.4720000267
75.09,0.4929999828
75.09,0.5139999866
75.09,0.5339999675
75.09,0.5559999942
75.09,0.5759999752
75.09,0.5960000038
75.09,0.6170000076
75.09,0.6380000114
75.09,0.6589999675
75.52,0.6789999961
75.52,0.7009999752
75.52,0.7210000038
75.52,0.7420000076
75.63,0.7630000114
75.63,0.7839999675
75.63,0.8039999961
75.63,0.8260000228
75.63,0.8460000038
75.77,0.8670000076
75.77,0.8880000114
75.77,0.9090000152
75.77,0.9289999961
76.06,0.9500000000
76.06,0.9710000038
76.06,0.9920000076
76.06,1.0119999647
76.06,1.0340000391
76.28,1.0540000200
76.28,1.0750000476
76.28,1.0959999561
76.28,1.1169999837
76.28,1.1369999647
76.63,1.1590000391
76.63,1.1790000200
76.63,1.2000000476
76.63,1.2209999561
76.96,1.2419999837
76.96,1.2619999647
76.96,1.2829999923
76.96,1.3040000200
76.96,1.3250000476
77.28,1.3450000286
77.28,1.3669999837
77.28,1.3869999694
77.28,1.4079999923
77.28,1.4289999961
77.39,1.4489999771
77.39,1.4700000286
77.39,1.4910000801
77.39,1.5119999885
77.61,1.5319999694
77.61,1.5539999961
77.61,1.5739999771
77.61,1.5950000286
77.61,1.6150000095
77.93,1.6369999885
77.93,1.6569999694
77.93,1.6779999732
77.93,1.6989999771
77.93,1.7200000286
78.11,1.7400000095
78.11,1.7619999885
78.11,1.7819999694
78.11,1.8029999732
78.22,1.8239999771
78.22,1.8450000762
78.22,1.8649999618
78.22,1.8869999885
78.22,1.9069999694
78.11,1.9279999732
78.11,1.9479999542
78.11,1.9700000762
78.11,1.9899999618
78.11,2.0109999179
77.93,2.0320000648
77.93,2.0529999732
77.93,2.0729999542
77.93,2.0950000286
78.04,2.1150000095
78.04,2.1359999179
78.04,2.1570000648
78.04,2.1779999732
78.04,2.1979999542
77.93,2.2200000286
77.93,2.2400000095
77.93,2.2599999904
77.93,2.2809998989
78.11,2.3020000457
78.11,2.3229999542
78.11,2.3429999351
78.11,2.3650000095
78.11,2.3849999904
78.25,2.4059998989
78.25,2.4270000457
78.25,2.4479999542
78.25,2.4679999351
78.25,2.4900000095
78.11,2.5099999904
78.11,2.5309998989
78.11,2.5520000457
78.11,2.5729999542
78.04,2.5929999351
78.04,2.6140000820
78.04,2.6349999904
78.04,2.6559998989
78.04,2.6760001182
77.79,2.6979999542
77.79,2.7179999351
77.79,2.7390000820
77.79,2.7599999904
77.79,2.7809998989
77.82,2.8010001182
77.82,2.8229999542
77.82,2.8429999351
77.82,2.8640001296
77.82,2.8850000381
77.82,2.9059999465
77.82,2.9260001182
77.82,2.9470000267
77.82,2.9679999351
77.79,2.9890001296
77.79,3.0090000629
77.79,3.0309998989
77.79,3.0510001182
77.79,3.0720000267
77.18,3.0929999351
77.18,3.1129999160
77.18,3.1340000629
77.18,3.1549999713
75.99,3.1760001182
75.99,3.1960000991
75.99,3.2179999351
75.99,3.2379999160
75.99,3.2590000629
74.69,3.2790000438
74.69,3.3010001182
74.69,3.3210000991
